start_block,end_block,total_candidate_outputs,pruned_outputs,matching_pairs,outputs_with_match
482416,483423,258640,215454,9202367,138607
483424,484431,252475,216531,9089198,138267
484432,485439,213515,179762,5877780,107632
485440,486447,172725,146066,4558095,87357
486448,487455,153863,136102,2184778,75373
487456,488463,147917,132968,573081,74504
488464,489471,153337,137735,722078,82219
489472,490479,157417,141961,754432,77311
490480,491487,154348,135810,691110,69358
491488,492495,143157,131786,704103,69138
492496,493503,140673,126029,666095,68917
493504,494511,133050,118471,804068,69454
494512,495519,109725,95185,396933,45153
495520,496527,136081,107845,505713,55315
496528,497535,136459,113227,746945,69187
497536,498543,122851,106998,585027,64721
498544,499551,114238,101467,461386,56467
499552,500559,118654,101270,506878,58893
500560,501567,91881,77288,242317,41916
501568,502575,80654,65673,166551,31527
502576,503583,104222,78189,173665,38129
503584,504591,80218,60656,151043,29671
504592,505599,66240,55030,140511,24378
505600,506607,58610,49720,145297,23981
506608,507615,52578,43946,189231,23431
507616,508623,60306,50489,194791,28355
508624,509631,51019,42872,163554,22281
509632,510639,54440,46513,173354,24282
510640,511647,52623,43578,154196,23632
511648,512655,47474,40393,138635,21762
512656,513663,54436,45802,155697,23118
513664,514671,57766,47813,201917,28056
514672,515679,55195,45307,196673,26327
515680,516687,55870,44973,178919,26611
516688,517695,47161,39517,152740,23535
517696,518703,63111,50012,344003,31603
518704,519711,69060,54024,427491,34305
519712,520719,79453,61116,402104,38887
520720,521727,73721,58003,391546,37038
521728,522735,77703,62550,523729,39760
522736,523743,67747,54870,396421,34125
523744,524751,53248,45352,291229,27969
524752,525759,59085,47870,257341,27909
525760,526767,55736,45407,228824,26835
526768,527775,68085,54830,387521,32721
527776,528783,53323,43124,221792,25115
528784,529791,57412,47634,245178,28867
529792,530799,66558,52912,451038,34012
530800,531807,62741,52423,569291,34544
531808,532815,62756,51545,397193,32955
532816,533823,61035,50436,426631,31592
533824,534831,64493,52280,409881,31667
534832,535839,63512,53568,348057,30641
535840,536847,70316,59728,349577,32262
536848,537855,61368,53651,342557,31024
537856,538863,57333,48759,325542,28054
538864,539871,69780,59350,418163,35702
539872,540879,70522,60493,382789,35781
540880,541887,69047,59358,422716,35814
541888,542895,73096,63414,872091,39698
542896,543903,63998,54722,436793,32142
543904,544911,66793,57464,525017,35131
544912,545919,80297,67140,1052712,44013
545920,546927,70828,58811,926670,39812
546928,547935,71469,58818,838445,39715
547936,548943,69558,59658,829168,40383
548944,549951,91410,78387,4091769,56035
549952,550959,96367,80867,2126306,54439
550960,551967,92615,77868,1827878,51891
551968,552975,90834,80045,5122249,54339
552976,553983,78105,70381,3593718,46074
553984,554991,85813,75872,3058579,50869
554992,555999,66699,58291,1959058,38631
556000,557007,77889,67080,2890718,48463
557008,558015,67726,58803,1884718,40186
558016,559023,92723,70215,1683563,48642
559024,560031,79859,65294,1079032,45265
560032,561039,96905,74425,1387330,53927
561040,562047,73844,63139,1105390,45177
